,Unnamed: 0,Unnamed: 0.1,x1,x4,x5,x6,x7,x8,y,y_pred
1994,1994,0.0,3831732.0,7571.0,6212.7,6370241.0,525.71,985.31,64.87,43.974421599405446
1995,1995,1.0,3913824.0,9038.16,7601.73,6467115.0,618.25,1259.2,99.75,98.46861498301087
1996,1996,2.0,3928907.0,9905.31,8092.82,6560508.0,638.94,1468.06,88.11,106.0849252552855
1997,1997,3.0,4282130.0,10444.6,8767.98,6664862.0,656.58,1678.12,106.07,108.5347226482952
1998,1998,4.0,4453911.0,11255.7,9422.33,6741400.0,758.83,1893.52,137.32,151.51041806581952
1999,1999,5.0,4548852.0,12018.52,9751.44,6850024.0,878.26,2139.18,188.14,190.1578036169608
2000,2000,6.0,4962579.0,13966.53,11349.47,7006896.0,923.67,2492.74,219.91,219.46363403098616
2001,2001,7.0,5029338.0,14694.0,11467.35,7125979.0,978.21,2841.65,271.91,229.69255021755043
2002,2002,8.0,5070216.0,13380.47,10671.78,7206229.0,1009.24,3203.96,269.1,211.96737142660857
2003,2003,9.0,5210706.0,15002.59,11570.58,7251888.0,1175.17,3758.62,300.55,300.55000000000007
2004,2004,10.0,5407087.0,16884.16,13120.83,7376720.0,1348.93,4450.55,338.45,392.71386395777245
2005,2005,11.0,5744550.0,18287.24,14468.24,7505322.0,1519.16,5154.23,408.86,475.3742471651258
2006,2006,12.0,5994973.0,19850.66,15444.93,7607220.0,1696.38,6081.86,476.72,565.002871454749
2007,2007,13.0,6236312.0,22469.22,18951.32,7734787.0,1863.34,7140.32,838.99,700.8781227637185
2008,2008,14.0,6529045.0,25316.72,20835.95,7841695.0,2105.54,8287.38,843.14,841.303362818411
2009,2009,15.0,6791495.0,27609.59,22820.89,7946154.0,2659.85,9138.21,1107.67,1094.6891326207149
2010,2010,16.0,7110695.0,30658.49,25011.61,8061370.0,3263.57,10748.28,1399.16,1386.766990719539
2011,2011,17.0,7431755.0,34438.08,28209.74,8145797.0,3412.21,12423.44,1535.14,1534.9563430130288
2012,2012,18.0,7512997.0,38053.52,30490.44,8222969.0,3758.39,13551.21,1579.68,1733.6616957836793
2013,2013,19.0,7599295.0,42049.14,33156.83,8323096.0,4454.55,15420.14,2088.14,2084.977639972306
2014,2014,,8142148.24,43611.84,35046.63,8505522.58,4600.4,18686.28,,2207.6461684252504
2015,2015,,8460489.28,47792.22,38384.22,8627139.31,5214.78,21474.47,,2552.8143014038837
